NCTId,final_date,start_date,field_changed,final_value,start_value
NCT06925269,2025-04-21 07:12:40.937900,,New  Study  Added,,
NCT01247207,2025-04-07 07:13:06.388759,2025-03-31 07:12:50.276131,Last Update Post Date,2025-03-11,2025-03-25
NCT01247207,2025-04-21 07:12:40.937900,2025-04-14 07:12:54.615614,Last Update Post Date,2025-04-17,2025-03-11
NCT01633866,2025-04-07 07:13:06.388759,2025-03-31 07:12:50.276131,Last Update Post Date,2024-12-16,2025-03-25
NCT01999075,2025-04-07 07:13:06.388759,2025-03-31 07:12:50.276131,Results First Post Date,2025-01-09,2025-03-25
NCT01999075,2025-04-07 07:13:06.388759,2025-03-31 07:12:50.276131,Last Update Post Date,2025-01-09,2025-03-25
NCT02069756,2025-04-07 07:13:06.388759,2025-03-31 07:12:50.276131,Last Update Post Date,2025-02-10,2025-03-25
NCT02369731,2025-04-07 07:13:06.388759,2025-03-31 07:12:50.276131,Last Update Post Date,2025-03-14,2025-03-25
NCT02413450,2025-04-07 07:13:06.388759,2025-03-31 07:12:50.276131,Last Update Post Date,2025-01-31,2025-03-25
NCT02470962,2025-04-07 07:13:06.388759,2025-03-31 07:12:50.276131,Last Update Post Date,2025-03-20,2025-03-25
NCT02485938,2025-04-07 07:13:06.388759,2025-03-31 07:12:50.276131,Results First Post Date,2025-01-09,2025-03-25
NCT02485938,2025-04-07 07:13:06.388759,2025-03-31 07:12:50.276131,Last Update Post Date,2025-01-09,2025-03-25
NCT02500381,2025-04-07 07:13:06.388759,2025-03-31 07:12:50.276131,Last Update Post Date,2024-12-16,2025-03-25
NCT03333590,2025-04-07 07:13:06.388759,2025-03-31 07:12:50.276131,Last Update Post Date,2025-03-13,2025-03-25
NCT03340675,2025-04-07 07:13:06.388759,2025-03-31 07:12:50.276131,Last Update Post Date,2025-02-12,2025-03-25
NCT03362502,2025-04-07 07:13:06.388759,2025-03-31 07:12:50.276131,Last Update Post Date,2025-02-21,2025-03-25
NCT03368742,2025-04-07 07:13:06.388759,2025-03-31 07:12:50.276131,Last Update Post Date,2025-02-06,2025-03-25
NCT03368742,2025-04-21 07:12:40.937900,2025-04-14 07:12:54.615614,Brief Summary,"This is a controlled, open-label, single-ascending dose study to evaluate the safety, tolerability and efficacy of SGT-001 in adolescents and children with Duchenne muscular dystrophy (DMD). Participants will receive a single intravenous (IV) infusion of SGT-001 and will be followed for approximately 5 years.
The protocol was amended to drop the control arm after 4 participants were dosed. Participants currently enrolling are assigned to active treatment. Control participants enrolled under original protocol will continue through the study per the original protocol.","This is a controlled, open-label, single-ascending dose study to evaluate the safety, tolerability and efficacy of SGT-001 in adolescents and children with Duchenne muscular dystrophy (DMD). Patients will receive a single intravenous (IV) infusion of SGT-001 and will be followed for approximately 5 years.
The protocol was amended to drop the control arm after 4 subjects were dosed. Subjects currently enrolling are assigned to active treatment. Control subjects enrolled under original protocol will continue through the study per the original protocol."
NCT03368742,2025-04-21 07:12:40.937900,2025-04-14 07:12:54.615614,Primary Outcome Measure,Primary safety endpoint,"Primary efficacy endpoint, Primary safety endpoint, Primary safety endpoint, Primary safety endpoint, Primary safety endpoint, Primary safety endpoint"
NCT03368742,2025-04-21 07:12:40.937900,2025-04-14 07:12:54.615614,Primary Completion Date,2026-10-15,2022-10-17
NCT03368742,2025-04-21 07:12:40.937900,2025-04-14 07:12:54.615614,Last Update Post Date,2025-04-16,2025-02-06
NCT03406780,2025-04-07 07:13:06.388759,2025-03-31 07:12:50.276131,Results First Post Date,2025-02-24,2025-03-25
NCT03406780,2025-04-07 07:13:06.388759,2025-03-31 07:12:50.276131,Last Update Post Date,2025-02-24,2025-03-25
NCT03655223,2025-04-07 07:13:06.388759,2025-03-31 07:12:50.276131,Secondary Id,HHSN27500003,"U01TR001792-01, HHSN27500003"
NCT03655223,2025-04-07 07:13:06.388759,2025-03-31 07:12:50.276131,Primary Completion Date,2025-11-30,2024-11-30
NCT03655223,2025-04-07 07:13:06.388759,2025-03-31 07:12:50.276131,Last Update Post Date,2025-04-04,2024-03-27
NCT03836300,2025-04-14 07:12:54.615614,2025-04-07 07:13:06.388759,Primary Completion Date,2026-06-30,2024-12-31
NCT03836300,2025-04-14 07:12:54.615614,2025-04-07 07:13:06.388759,Completion Date,2026-12-31,2025-06-30
NCT03836300,2025-04-14 07:12:54.615614,2025-04-07 07:13:06.388759,Last Update Post Date,2025-04-06,2024-05-01
NCT03863119,2025-04-07 07:13:06.388759,2025-03-31 07:12:50.276131,Last Update Post Date,2025-02-10,2025-03-25
NCT03947112,2025-04-07 07:13:06.388759,2025-03-31 07:12:50.276131,Last Update Post Date,2025-03-05,2025-03-25
NCT03963453,2025-04-07 07:13:06.388759,2025-03-31 07:12:50.276131,Last Update Post Date,2025-03-05,2025-03-25
NCT03992430,2025-04-07 07:13:06.388759,2025-03-31 07:12:50.276131,Last Update Post Date,2024-12-20,2025-03-25
NCT04004065,2025-04-07 07:13:06.388759,2025-03-31 07:12:50.276131,Last Update Post Date,2025-03-10,2025-03-25
NCT04281485,2025-04-07 07:13:06.388759,2025-03-31 07:12:50.276131,Last Update Post Date,2025-01-13,2025-03-25
NCT04322357,2025-04-07 07:13:06.388759,2025-03-31 07:12:50.276131,Last Update Post Date,2025-02-27,2025-03-25
NCT04428476,2025-04-07 07:13:06.388759,2025-03-31 07:12:50.276131,Results First Post Date,2025-02-24,2025-03-25
NCT04428476,2025-04-07 07:13:06.388759,2025-03-31 07:12:50.276131,Last Update Post Date,2025-02-24,2025-03-25
NCT04529707,2025-04-07 07:13:06.388759,2025-03-31 07:12:50.276131,Last Update Post Date,2025-03-07,2025-03-25
NCT04906460,2025-04-07 07:13:06.388759,2025-03-31 07:12:50.276131,Last Update Post Date,2025-02-19,2025-03-25
NCT05126758,2025-04-07 07:13:06.388759,2025-03-31 07:12:50.276131,Last Update Post Date,2025-02-04,2025-03-25
NCT05166109,2025-04-07 07:13:06.388759,2025-03-31 07:12:50.276131,Last Update Post Date,2024-12-27,2025-03-25
NCT05195775,2025-04-07 07:13:06.388759,2025-03-31 07:12:50.276131,Last Update Post Date,2025-02-27,2025-03-25
NCT05257473,2025-04-07 07:13:06.388759,2025-03-31 07:12:50.276131,Last Update Post Date,2025-03-10,2025-03-25
NCT05257473,2025-04-14 07:12:54.615614,2025-04-07 07:13:06.388759,Overall Status,Active Not Recruiting,Recruiting
NCT05257473,2025-04-14 07:12:54.615614,2025-04-07 07:13:06.388759,Primary Completion Date,2026-05-01,2025-05-01
