NCTId,BriefTitle,Acronym,OverallStatus,BriefSummary,HasResults,Condition,InterventionType,InterventionName,PrimaryOutcomeMeasure,SecondaryOutcomeMeasure,LeadSponsorName,CollaboratorName,Sex,MinimumAge,MaximumAge,StdAge,Phase,EnrollmentCount,LeadSponsorClass,StudyType,DesignPrimaryPurpose,OrgStudyId,SecondaryId,StartDate,PrimaryCompletionDate,CompletionDate,StudyFirstPostDate,ResultsFirstPostDate,LastUpdatePostDate,Timestamp
NCT03907072,Efficacy and Safety Study of WVE-210201 (Suvodirsen) With Open-label Extension in Ambulatory Patients With Duchenne Muscular Dystrophy,DYSTANCE 51,TERMINATED,"This is a Phase 2/3, multicenter, randomized, double-blind, placebo-controlled study with an open-label extension period to evaluate the safety and efficacy of WVE-210201 (suvodirsen) in ambulatory male pediatric patients with Duchenne muscular dystrophy (DMD) amenable to exon 51 skipping intervention (DYSTANCE 51)",True,Duchenne Muscular Dystrophy,"DRUG, DRUG","WVE-210201 (suvodirsen), Placebo","Change From Baseline in Dystrophin Level (% Normal Dystrophin), Change From Baseline in North Star Ambulatory Assessment (NSAA)","Change From Baseline in North Star Ambulatory Assessment (NSAA), Change From Baseline in Dystrophin Level (% Normal Dystrophin), Change From Baseline in Upper Limb Proximal Strength, Change From Baseline in 4-stair Climb, Change From Baseline in the 10-meter Walk/Run Test, Change From Baseline in Forced Vital Capacity, Change From Baseline in the 95th Percentile of Stride Velocity, Change From Baseline in NSAA",Wave Life Sciences Ltd.,,MALE,5 Years,12 Years,CHILD,"PHASE2, PHASE3",6,INDUSTRY,INTERVENTIONAL,TREATMENT,WVE-DMDX51-003,,2019-09-04,2019-12-16,2020-01-09,2019-04-08,2021-05-20,2021-05-20,2024-12-10T07:22:19.264591
NCT02740972,Safety and Dose Finding Study of NS-065/NCNP-01 in Boys With Duchenne Muscular Dystrophy (DMD),,COMPLETED,"The main objective of this study is to evaluate the safety of a high (80mg/kg) and low (40mg/kg) dose of NS-065/NCNP-01 delivered as an intravenous infusion in patients with Duchenne Muscular Dystrophy (DMD) amendable to exon 53 skipping. Additional objectives include tolerability, muscle function and strength, pharmacokinetics and pharmacodynamics.",True,Duchenne Muscular Dystrophy,"DRUG, DRUG","NS-065/NCNP-01, Placebo","Incidence of Adverse Events as Assessed by CTCAE v4.0., Dystrophin Production by Western Blot","Dystrophin Production by RT-PCR for mRNA - Percentage of Exons Skipped - Molarity, Dystrophin Production by Mass Spectrometry, Dystrophin Production by Immunofluorescence, Change From Baseline in Muscle Strength as Measured by Quantitative Muscle Testing (QMT)., Change From Baseline in Distance Traveled in the Six-Minute Walk Test (6MWT)., Change From Baseline in Time to Climb 4 Stairs (TTCLIMB)., Change From Baseline in Time to Climb 4 Stairs (TTCLIMB) Velocity, Change From Baseline in Time to Run/Walk 10 Meters (TTRW)., Change From Baseline in Time to Run/Walk 10 Meters (TTRW) Velocity., Change From Baseline in Time to Stand (TTSTAND), Change From Baseline in Time to Stand (TTSTAND) Velocity, Change From Baseline in North Star Ambulatory Assessment (NSAA) Score.","NS Pharma, Inc.","Nippon Shinyaku Co., Ltd., Cooperative International Neuromuscular Research Group, Therapeutic Research in Neuromuscular Disorders Solutions",MALE,4 Years,9 Years,CHILD,PHASE2,16,INDUSTRY,INTERVENTIONAL,TREATMENT,NS-065/NCNP-01-201,,2016-12,2018-03,2018-04,2016-04-15,2021-07-12,2021-12-07,2024-12-10T07:22:19.264591
NCT01539772,Becker Muscular Dystrophy - A Natural History Study to Predict Efficacy of Exon Skipping,,UNKNOWN,"This is a multi-center natural history study that will be conducted at participating centers in the Cooperative International Neuromuscular Research Group (CINRG). Following a baseline evaluation, participants will have three follow-up visits over a three-year period. The investigators will characterize the Becker muscular dystrophy phenotype, and correlate specific abnormal dystrophin proteins with the range of clinical outcomes.",False,Becker Muscular Dystrophy,,,"Strength and function, Quality of life, Medical history assessment - ambulation status, medication history, hospitalizations, surgeries, nutrition, fractures, and cardiac tests",,Cooperative International Neuromuscular Research Group,,MALE,4 Years,,"CHILD, ADULT, OLDER_ADULT",,85,NETWORK,OBSERVATIONAL,,PITT0112,,2012-04,2018-08,2018-08,2012-02-28,,2018-06-15,2024-12-10T07:22:19.264591
NCT01931644,"At-Home Research Study for Patients With Autoimmune, Inflammatory, Genetic, Hematological, Infectious, Neurological, CNS, Oncological, Respiratory, Metabolic Conditions",,COMPLETED,"We are the missing link in clinical trials, connecting patients and researchers seamlessly and conveniently using a mobile health platform to advance medical research. We make it easy for patients to contribute to research for medical conditions that matter most to them, regardless of their location or ability to travel.",False,"All Diagnosed Health Conditions, ADD/ADHD, Alopecia Areata, Ankylosing Spondylitis, Asthma, Atopic Dermatitis Eczema, Beta Thalassemia, Bipolar Disorder, Breast Cancer, Celiac Disease, Cervical Cancer, Chronic Inflammatory Demyelinating Polyneuropathy, Chronic Kidney Diseases, Chronic Obstructive Pulmonary Disease, Colon Cancer, Colorectal Cancer, Crohn's Disease, Cystic Fibrosis, Depression, Diabetes Mellitus, Duchenne Muscular Dystrophy, Endometriosis, Epilepsy, Facioscapulohumeral Muscular Dystrophy, G6PD Deficiency, General Anxiety Disorder, Hepatitis B, Hereditary Hemorrhagic Telangiectasia, HIV/AIDS, Human Papilloma Virus, Huntington's Disease, Idiopathic Thrombocytopenic Purpura, Insomnia, Kidney Cancer, Leukemia, Lung Cancer, Lupus Nephritis, Lymphoma, Melanoma, Multiple Myeloma, Multiple Sclerosis, Myositis, Myotonic Dystrophy, Ovarian Cancer, Pancreatic Cancer, Parkinson's Disease, Polycystic Kidney Diseases, Prostate Cancer, Psoriasis, Psoriatic Arthritis, Rosacea, Scleroderma, Sickle Cell Anemia, Sickle Cell Trait, Sjogren's Syndrome, Skin Cancer, Spinal Muscular Atrophy, Systemic Lupus Erythematosus, Thrombotic Thrombocytopenic Purpura, Trisomy 21, Ulcerative Colitis",,,Biospecimen & Clinical Data Collection,,Sanguine Biosciences,,ALL,18 Years,100 Years,"ADULT, OLDER_ADULT",,17667,INDUSTRY,OBSERVATIONAL,,SAN-BB-01,,2013-07,2024-04,2024-04,2013-08-29,,2024-04-18,2024-12-10T07:22:19.264591
NCT04956289,"Study to Assess the Safety, Tolerability, and Efficacy of Viltolarsen in Ambulant and Non-Ambulant Boys With DMD (Galactic53)",,COMPLETED,"This is a phase II, open-label study where weekly doses of 80 mg/kg viltolarsen is administered intravenously over a 48-week treatment period to ambulant and non-ambulant DMD patients over the age of 8 years.",True,Duchenne Muscular Dystrophy,DRUG,Viltolarsen,"Number of Participants With Treatment Emergent Adverse Events, Number of Participants With Treatment Emergent Adverse Events by Maximum Severity, Number of Participants With Treatment Emergent Adverse Events by Highest Intervention Level Regarding Investigational Product, Number of Participants With Treatment Emergent Adverse Events by Worst Outcome, Number of Participants With Investigational Product-related Treatment Emergent Adverse Events, Number of Participants With Investigational Product-related Treatment Emergent Adverse Events by Maximum Severity, Number of Participants With Investigational Product-related Treatment Emergent Adverse Events by Highest Intervention Level Regarding Investigational Product, Number of Participants With Investigational Product-related Treatment Emergent Adverse Events by Worst Outcome, Number of Participants With Adverse Event of Special Interest",,"NS Pharma, Inc.","Nippon Shinyaku Co., Ltd.",MALE,8 Years,,"CHILD, ADULT, OLDER_ADULT",PHASE2,20,INDUSTRY,INTERVENTIONAL,TREATMENT,NS-065/NCNP-01-211,,2021-07-01,2023-06-20,2023-07-13,2021-07-09,2024-08-20,2024-08-20,2024-12-10T07:22:19.264591
NCT01761292,"A Study to Assess Safety/Tolerability, pk, Effects on Histology, Clinical Parameters of Givinostat in Children With DMD",,COMPLETED,"The primary objective of Parts 1 and 2 of the study were to establish the histologic effects of givinostat administered chronically at the selected daily dose.

The secondary objectives of Parts 1 and 2 of the study were as follows:

* To establish the effects of givinostat administered chronically at the selected daily dose on functional parameters, such as the 6-Minute Walk Test (6MWT), North Star Ambulatory Assessment (NSAA), and performance of upper limb (PUL)
* To establish the safety and tolerability of givinostat administered chronically at the selected daily dose in children with Duchenne muscular dystrophy (DMD)
* To explore the effects of givinostat administered chronically at the selected daily dose on parameters such as magnetic resonance imaging (MRI) and biomarkers
* To explore the acceptability/palatability of the oral suspension
* To explore whether the effects of givinostat on disease progression may be related to the type of DMD mutation.

The primary objective of the Extension of the study was to evaluate the safety and tolerability of long-term administration of givinostat administered chronically at the selected daily dose in children with DMD.

The secondary objectives of the Extensions were:

* To establish the effects of givinostat administered chronically at the selected daily dose on muscular functional parameters, such as the 6MWT, NSAA, and PUL (Extensions 1, 2, and 3)
* To explore the effects of givinostat administered chronically at the selected daily dose on parameters such as MRI (Extension 1)
* To collect information related to 2 biomarkers, latent Transforming growth factor β (TGFβ) binding protein 4 (LTBP4) and osteopontin genotype (at the beginning of Extension 2 only)
* To collect information related to time to wheelchair and how much time the children spend in wheelchair (Extension 3 - only for the children who were not able to complete the 6MWT)",True,Duchenne Muscular Dystrophy (DMD),DRUG,Givinostat,Change From Baseline to Part 2 in the Value of Muscle Fiber Area (MFA) % Comparing the Histology Biopsies Before and After 12 Months of Treatment With Givinostat.,"Change From Baseline to End of Study in Cross Sectional Area (CSA), Change From Baseline to End of Study in Fibrosis, Necrosis, Fatty Replacement, Change From Baseline to End of Study in Number of Hypercontracted Fibers, Change From Baseline in Muscular Function After 12 Months of Treatment With Givinostat at the Selected Daily Dose Based on the 6-Minute Walk Test, Change From Baseline in Muscular Function After 12 Months of Treatment With Givinostat at the Selected Daily Dose Based on the North Star Ambulatory Assessment (NSAA), Change From Baseline in Muscular Function After 12 Months of Treatment With Givinostat at the Selected Daily Dose Based on the Performance of Upper Limb (PUL), Change From Baseline in Muscular Function After After 24 (Extension 1), 36 (Extension 2), and 52 Months (Extension 3) of Treatment With Givinostat at the Selected Daily Dose Based on the 6-Minute Walk Test, Change From Baseline in Muscular Function After 24 (Extension 1), 36 (Extension 2), and 52 Months (Extension 3) of Treatment With Givinostat at the Selected Daily Dose Based on the North Star Ambulatory Assessment (NSAA), Change From Baseline in Muscular Function After 24 (Extension 1), 36 (Extension 2), and 52 Months (Extension 3) of Treatment With Givinostat at the Selected Daily Dose Based on the Performance of Upper Limb (PUL), Number of Children Experiencing Treatment-emergent Adverse Events (TEAEs), Serious Adverse Events (SAEs), and Type and Severity of TEAEs",Italfarmaco,,MALE,7 Years,11 Years,CHILD,"PHASE1, PHASE2",20,INDUSTRY,INTERVENTIONAL,TREATMENT,DSC/11/2357/43,2012-002566-12,2013-04,2014-12,2017-11,2013-01-04,2020-06-23,2023-11-07,2024-12-10T07:22:19.264591
NCT05753462,"Phase 1/2a for Safety, PK and PD of SQY51 in Paediatric and Adult Patients Duchenne Muscular Dystrophy",AVANCE1,RECRUITING,"This is a Phase 1/2a, monocentric, open label study to evaluate the safety, pharmacokinetics, and pharmacodynamics of SQY51 in patients with Duchenne muscular dystrophy",False,Duchenne Muscular Dystrophy,"DRUG, DRUG, DRUG, DRUG","Phase 1, SQY51, Phase 2a, SQY51 (cohort 1), Phase 2a, SQY51 (cohort 2), Phase 2a, SQY51 (cohort 3)",Incidence of AEs in all participants,"Pharmacokinetic plasma concentration of SQY51 (µg/ml), Change from baseline in time to rise from floor, time to complete 1-min, 6-min and 10-min walk in ambulant patients as well as MFM and PUL scores in both ambulant and non-ambulant patients, Changes from baseline in skeletal muscle dystrophin expression",Sqy Therapeutics,Biotrial,MALE,6 Years,,"CHILD, ADULT, OLDER_ADULT","PHASE1, PHASE2",12,OTHER,INTERVENTIONAL,OTHER,AVANCE1-1/2a,2022-500703-49-01,2023-04-26,2025-02,2025-02,2023-03-03,,2024-04-01,2024-12-10T07:22:19.264591
NCT05564962,Quality and Independence of Gait Classification Scale for DMD (QIGS-DMD),,COMPLETED,"The aim of this study was to develop a reliable and valid gait classification scale for Duchenne Muscular Dystrophy (QIGS-DMD). The items of the QIGS-DMD were designed based on the literature review considering existing functional classification scales, gait scales, and the opinions of the physiotherapists who were expertized in rehabilitation of patients with DMD. Content validity was determined based on the opinions of a total of ten expert physiotherapists. Videos were recorded during gait of 69 children with DMD and inter- and intra-rater reliability were examined. Criterion validity was determined according to the relationship between QIGS-DMD and Motor Function Measure (MFM) and Vignos Lower Extremity Rating Scale (VLERS).",False,"Duchenne Muscular Dystrophy, Gait Disorders in Children",DIAGNOSTIC_TEST,Quality and Independence of Gait Classification Scale for Duchenne Muscular Dystrophy (QIGS-DMD),Quality and Independence of Gait Classification Scale for Duchenne Muscular Dystrophy (QIGS-DMD),"Motor Fucntion Measure (MFM), Vignos Lower Extremity Rating Scale (VLERS)",Hacettepe University,,MALE,5 Years,18 Years,"CHILD, ADULT",,69,OTHER,OBSERVATIONAL,,QIGSDMD,,2021-01-19,2021-06-20,2021-09-20,2022-10-04,,2022-10-04,2024-12-10T07:22:19.264591
NCT02285673,Efficacy of Umbilical Cord Mesenchymal Stem Cells in Duchenne Muscular Dystrophy,,UNKNOWN,"Duchenne muscular dystrophy (DMD) is a genetic disorder caused by an absence of dystrophin and characterized by progressive muscle degeneration. There is no cure for DMD at present but, there are several strategies under-researched for treatment of DMD such as steroid treatment, gene theraphy, exon skipping, stop codon read through and gene repair, cell theraphy and theraphy with drug that help to produce utrophin protein.

The aim of this study is investigate the eficacy of human umblical cord mesenchymal stem cells on DMD and understanding if wild type gene can be transfered to the patient.",False,Duchenne Muscular Dystrophy,BIOLOGICAL,Umbilical Cord Mesenchymal Stem Cell,Duchenne muscular dystrophy gene expression,,Acibadem University,,MALE,7 Years,20 Years,"CHILD, ADULT","PHASE1, PHASE2",10,OTHER,INTERVENTIONAL,TREATMENT,DMD-UC-MSC-1,,2013-11,2015-02,2015-11,2014-11-07,,2014-11-07,2024-12-10T07:22:19.264591
NCT00873782,Safety Study of Transvenous Limb Perfusion in Human Muscular Dystrophy,,COMPLETED,"Muscular dystrophies are inherited disorders in which the skeletal and heart muscles become progressively weaker, sometimes leading to permanent disability. Current treatments aim to control symptoms as much as possible, but there is no cure. Gene therapy, in which defective genes causing the disorder are corrected, is a potential treatment option and is in the process of being developed for muscular dystrophies. This study will determine the safety and feasibility of a particular delivery method for gene therapy that could be used in the future to treat people with muscular dystrophies. Only normal saline, and no active treatment, will be used in this study.",True,"Muscular Dystrophies, Duchenne Muscular Dystrophy, Becker Muscular Dystrophy, Limb-Girdle Muscular Dystrophy",OTHER,Retrograde high pressure transvenous perfusion with normal saline,"Muscle, Nerve, or Vascular Damage",,"University of North Carolina, Chapel Hill","National Institute of Arthritis and Musculoskeletal and Skin Diseases (NIAMS), University of North Carolina",ALL,21 Years,,"ADULT, OLDER_ADULT",PHASE1,16,OTHER,INTERVENTIONAL,TREATMENT,U54AR056953,U54AR056953,2009-03,2014-02,2014-02,2009-04-02,2015-03-09,2015-03-09,2024-12-10T07:22:19.264591
