NCTId,type,name,description,arm_group_labels,other_names
NCT03715543,Procedure,Surgical Resection of the Greater Splanchnic Nerve,"Video-Assisted Thoracoscopic Surgery (VATS) is performed under general anesthesia using existing, CE marked instrumentation. Two or more 5 mm incisions are used to pass a tiny video camera and a single dissecting instrument into the chest. These small ports are advantageous because the chance for infection and wound dehiscence are drastically reduced. This allows for a faster recovery by the patient and a greater chance for the wound to heal.

In the procedure the GSN will be identified visually or through stimulation-induced hemodynamic reflex. The GSN will then be ablated using standard techniques. If there are multiple branches of the GSN, each branch will be systematically identified and ablated.",Surgical Resection Arm,
NCT05764564,Diagnostic Test,Positive or negative pressure,Positive or negative pressure is applied via a closed chamber.,"Control: Healthy Volunteers (Aim 1), Experimental: Patients with heart failure (Aim 1), Experimental: Patients with heart failure (Aim 2)",
NCT04133350,Behavioral,Active Patient Engagement,"The APE intervention will be delivered through a patient-facing application and website called myAir, which provides patients with access to their own usage data, educational tips, and coaching.",Active Patient Engagement,
NCT05824923,Procedure,Pulmonary arterial denervation,"Contrast pulmonary artery (PA) angiography will be performed to localize the pulmonary artery bifurcation level and calculate the PA diameter. Once the anatomy deemed acceptable, the radiofrequency ablation catheter will be introduced into ostium of the left PA and the distal bifurcation area of the main PA.

The catheter will be manoeuvred within the PA to allow energy delivery in a circumferential manner to ensure that the electrodes are tightly in contact with the endovascular surface. About three ablations at 45-55 °C for 120 seconds each will be performed in ostium of the left PA and the distal bifurcation area of the main PA.

For non-atrial fibrillation patients, dual antiplatelet therapy for 1 month after PADN is recommended. Patients with atrial fibrillation should continue new oral anticoagulants and patients who underwent metal valve replacement should continued oral warfarin anticoagulation according to guidelines, which could determined by the physician.",Pulmonary Artery Denervation (PADN),PADN
NCT05824923,Drug,Guideline-directed medical therapy (GDMT) for heart failure,"GDMT medication recommendation including:

* Angiotensin-converting enzyme inhibitor (ACEI) or angiotensin-receptor blocker (ARB) or angiotensin receptor-neprilysin inhibitor (ARNI)
* Beta-receptor blocker (BB)
* Mineralocorticoid receptor antagonist (MRA)
* Sodium-glucose co-transporter 2 (SGLT2) inhibitor
* Diuretics

The medication regimen (type and dosage) will be the investigator's discretion in accordance with the 2023 ESC Guidelines for Heart Failure. The type and dosage of all GDMT medications (except for diuretics) should remain unchanged through follow-up duration (at 12-month visit), unless the participant's conditions need adjust of GDMT regimens. Dosage and single or combination of diuretics are all left at physician's discretion.","Guideline-directed medical therapy (GDMT) for heart failure, Pulmonary Artery Denervation (PADN)",GDMT medication for heart failure
NCT06353750,Other,Magnesium supplement,Intravenous magnesium supplement (10mmol).,"Healthy controls, Individuals with heart failure with preserved ejection fraction (HFpEF), Matched controls",
NCT06046612,Drug,"Participants receive 10mg Empaglifozin once daily on prescription from their treating physician. This is not an intervention in this trial, but part of their normal HFpEF treatment","The investigational medicinal product investigated in this trial (empagliflozin) is authorised for use in the European Union by the European Medicines Agency and will be used in accordance with the terms of the marketing authorization. The treating physician (cardiologist) will determine the indication for empagliflozin use, discuss the benefits and risks with the patient, prescribe the drug, and provide follow up after starting the drug, according to normal clinical practice. The study participants are not assigned to a particular therapeutic strategy decided by the clinical trial protocol.",heart failure with preserved ejection fraction,Jardiance
NCT05985395,Behavioral,HEART Camp Connect,"Once eligible and enrolled, participants will complete 150 minutes of moderate-intensity exercise a week with help of a virtual exercise coach.",HEART Camp Connect,
NCT02435667,Other,Resistance Exercise Training,"1. Aerobic Exercise

   a. Each participant will engage in 5 minutes of aerobic based exercise on an arm/leg ergometer (NuStep Cross Trainer) at an intensity of 12-14 on the Borg Rating of Perceived Exertion Scale as a warm-up prior to the exercise session and again as a cool-down at the end of the exercise session.
2. Resistance Exercise - 2 sets of 8-12 repetitions - beginning at 60% of the initial 1 RM.

   a) Leg Extension, b) Bicep Curl, c) Leg Press, d) Chest Press, e) Leg Curl, f)Seated Row (horizontal or pulldown), g) Calf Raises
3. Core Strengthening Exercises a. 5-10 minutes of stability ball and balance exercises",Resistance Exercise Training,
NCT02435667,Radiation,DEXA bone scan,A DEXA scan that provides bone density measures.,"Resistance Exercise Training, Standard Care",
