NCTId,BriefTitle,Acronym,OverallStatus,BriefSummary,HasResults,Condition,InterventionType,InterventionName,PrimaryOutcomeMeasure,SecondaryOutcomeMeasure,LeadSponsorName,CollaboratorName,Sex,MinimumAge,MaximumAge,MinimumAgeMonths,MaximumAgeMonths,StdAge,Phase,EnrollmentCount,LeadSponsorClass,StudyType,DesignPrimaryPurpose,OrgStudyId,SecondaryId,StartDate,PrimaryCompletionDate,CompletionDate,StudyFirstPostDate,ResultsFirstPostDate,LastUpdatePostDate,Timestamp
NCT03715543,Surgical Resection of the Greater Splanchnic Nerve in Subjects Having Heart Failure With Preserved Ejection Fraction,,Completed,"We believe that blocking of the Greater Splanchnic Nerve (GSN) will stop Sympathetic Nervous System (SNS) activity from reaching the splanchnic vessels and result in a redistribution of blood volume back into the splanchnic reservoir, which will result in reduction of central venous, pulmonary and right and left heart pressures. For patients having Heart Failure With Preserved Ejection Fraction (HFpEF) we expect these changes to improve dyspnea and capacity to exercise, improve quality of life, increased diuretic responsiveness, Furthermore, the expected benefits of unloading the central venous and arterial system through GSN ablation should improve hemodynamic control and lessen the incidence and severity of acute decompensations leading to reduced re-hospitalizations and associated healthcare costs. This has the potential for significant social and healthcare impact.",False,Heart Failure With Preserved Ejection Fraction,Procedure,Surgical Resection of the Greater Splanchnic Nerve,Blunting or delay in rise of Pulmonary Capillary Wedge Pressure (PWCP) or Pulmonary Artery Diastolic Pressure (PAD) during exercise,Reduction in resting Pulmonary Capillary Wedge Pressure (PWCP) or Pulmonary Artery Diastolic Pressure (PAD),Noblewell,"Coridea, Axon Therapies",All,18 Years,,216.0,0.0,"Adult, Older Adult",Na,8,Industry,Interventional,Treatment,GSN FIH Study,,2016-08-01,2019-06-30,2019-06-30,2018-10-23,,2020-06-30,2025-07-22T14:56:11.992789
NCT05764564,External Body Pressure in Heart Failure With Preserved Ejection Fraction,,Recruiting,"The primary objective of the study is to test the impact of positive and negative body pressure on exercise capacity, symptoms, blood volume distribution and central cardiac hemodynamics in patients with heart failure and preserved ejection fraction. Aim 1 will study healthy volunteers and heart failure patients non invasively while Aim 2 will study heart failure patients invasively (intracardiac pressures).",False,"Heart Failure, Diastolic",Diagnostic Test,Positive or negative pressure,change in exercise cardiac output,"change in exercise cardiac output, change in heart rate, change in heart rate, change in respiratory rate, change in O2 consumption, change in O2 consumption, Change in wedge pressure, Change in wedge pressure",Duke University,,All,30 Years,,360.0,0.0,"Adult, Older Adult","Phase1, Phase2",60,Other,Interventional,Diagnostic,Pro00112081,,2023-04-21,2026-01-01,2026-01-01,2023-03-10,,2025-02-04,2025-07-22T14:56:11.992789
NCT04133350,Patients With Heart Failure With Preserved Ejection Fraction Adherence to ASV Therapy (PEP ASV),PEP-ASV,Terminated,"This is a prospective, single-arm, unblinded pilot study and registry that aims to demonstrate adherence to adaptive servo-ventilation (ASV) therapy in patients with moderate to severe sleep disordered breathing who have been recently hospitalized. ASV therapy has been linked to improved outcomes in this population, but adherence to therapy is low. The AirCurve 10 ASV device that will be used for this study employs newer technologies, such as web-based monitoring and provides patients feedback, which may increase therapy adherence and therefore improve patient outcomes.",False,"Sleep Disorder; Breathing-Related, Heart Failure",Behavioral,Active Patient Engagement,Adherence (hours/night),Quality of Life Score -,Thomas Jefferson University,"Inova Fairfax Hospital, Heart and Diabetes Center North Rhine-Westphalia, CLEMENS HOSPITAL, Resmed Inc",All,18 Years,,216.0,0.0,"Adult, Older Adult",Na,2,Other,Interventional,Supportive Care,19P.115,,2019-10-16,2021-02-01,2021-02-01,2019-10-21,,2021-05-27,2025-07-22T14:56:11.992789
NCT05824923,A Trial to Evaluate the Safety and Efficacy of Pulmonary Artery Denervation for the Treatment of Pulmonary Hypertension Associated With Left Heart Failure,PADN-HF-PH,Recruiting,"It's a phase III, prospective, multicenter, randomized controlled trial to evaluate the safety and efficacy of the pulmonary artery denervation (PADN) for heart failure (HF) patients diagnosed with pulmonary hypertension associate with left heart disease (PH-LHD) by right heart catheterization.",False,"Pulmonary Hypertension, Heart Failure With Reduced Ejection Fraction, Hypertension, Vascular Diseases, Cardiovascular Diseases, Heart Failure, Heart Failure With Preserved Ejection Fraction, Heart Failure With Mid Range Ejection Fraction","Procedure, Drug","Pulmonary arterial denervation, Guideline-directed medical therapy (GDMT) for heart failure","Clinical Worsening, defined as the occurrence of any of the followings:","Parameters measured by transthoracic echocardiography(TTE), Parameters measured by transthoracic echocardiography(TTE), Parameters measured by transthoracic echocardiography(TTE), Parameters measured by transthoracic echocardiography(TTE), Parameters measured by transthoracic echocardiography(TTE), Parameters measured by transthoracic echocardiography(TTE), Parameters measured by transthoracic echocardiography(TTE), Parameters measured by transthoracic echocardiography(TTE), N-terminal pro-B-type natriuretic peptide (NT-proBNP), 6 minute walk distance(6MWD) difference from baseline, Changes in the Kansas City Cardiomyopathy Questionnaire(KCCQ) overall summary score from baseline, Intravenous medication due to worsening of heart failure, Rehospitalization due to heart failure, Heart/heart-lung transplantation, All-cause death","Pulnovo Medical (Wuxi) Co., Ltd.","The General Hospital of Northern Theater Command, The First Affiliated Hospital with Nanjing Medical University, First Hospital of Tsinghua University, Cangzhou Central Hospital, Chinese Academy of Medical Sciences, Fuwai Hospital, Guangdong Provincial People's Hospital, The First Affiliated Hospital of Guangzhou Medical University, First Affiliated Hospital of Harbin Medical University, Tongji Hospital, Second Hospital of Jilin University, China-Japan Union Hospital, Jilin University, Shanxi Cardiovascular Hospital, RenJi Hospital, Shanghai 10th People's Hospital, Beijing Anzhen Hospital, West China Hospital, Sichuan Academy of Medical Sciences, The First Affiliated Hospital of Soochow University, TEDA International Cardiovascular Hospital, Tianjin Medical University General Hospital, Renmin Hospital of Wuhan University, Zhongnan Hospital, First Affiliated Hospital Xi'an Jiaotong University, Xiamen Cardiovascular Hospital, Xiamen University, Zhejiang University, Shengjing Hospital, First Affiliated Hospital of Fujian Medical University, First Affiliated Hospital of Wenzhou Medical University, Gansu Provincial Hospital, Yanan Hospital of Kunming City, First Affiliated Hospital of Chongqing Medical University, Huaihe Hospital of Henan University, Wuhan Union Hospital, China, The First Affiliated Hospital of Nanchang University, Hunan Provincial People's Hospital, Tianjin Medical University Second Hospital, First Affiliated Hospital, Sun Yat-Sen University, The First Hospital of Jilin University",All,18 Years,75 Years,216.0,900.0,"Adult, Older Adult",Phase3,264,Industry,Interventional,Treatment,Pulnovo-CO-2022-01,,2023-08-14,2025-08-01,2027-02-01,2023-04-24,,2024-09-20,2025-07-22T14:56:11.992789
NCT06353750,Intracellular Magnesium and Heart Failure,,Not Yet Recruiting,"Low magnesium levels are surprisingly common in those with a heart condition known as HFpEF, where the heart pumps well but is too rigid to fill properly with blood. While routine blood tests can check magnesium levels, they don't tell us how much magnesium is actually inside the heart and muscle cells, where it's vital for energy and overall function. Our research aims to get a clearer picture by looking directly at the magnesium inside these cells and understanding its role in the body's energy production and usage. We're also interested in how magnesium levels affect symptoms and the body's handling of sugar. We're using advanced medical imaging techniques, like heart magnetic resonance imaging (MRI) and other heart and muscle function tests, at rest and when the heart is working hard to help answer these questions. We'll compare the magnesium levels inside the cells before and after giving a supplement of magnesium to see if this can make a difference in how the heart and muscles work.",False,"Heart Failure With Preserved Ejection Fraction, Hypomagnesemia",Other,Magnesium supplement,Myocardial/ skeletal muscle metabolism and energetics at rest and stress.,"Serum versus intracellular magnesium concentration, Cardiac function, Skeletal muscle performance, Symptoms, Insulin sensitivity",University of Oxford,"British Heart Foundation, Oxford University Hospitals NHS Trust",All,18 Years,,216.0,0.0,"Adult, Older Adult",,85,Other,Observational,,331039,,2024-04-15,2026-02-28,2026-04-25,2024-04-09,,2024-04-09,2025-07-22T14:56:11.992789
NCT06046612,Empagliflozin for Peripheral Microvascular Dysfunction in Heart Failure With Preserved Ejection Fraction,,Recruiting,"The goal of this low-intervention clinical trial is to learn about the effect of the drug Empagliflozin in patients with heart failure with preserved ejection fraction.

The main questions it aims to answer are:

* What is the effect of treatment with Empagliflozin after 3 months on peripheral microvascular function
* Do clinical correlates for worse microvascular function exist, and thus identify patients that could possibly benefit most from empagliflozin treatment

Patients will use Empagliflozin, prescribed by their treating physician. Before the start of treatment and after 3 months they will be asked to

* Fill out a quality of life questionnaire
* Draw 4 tubes of blood
* Undergo non-invasive measurement of the blood flow of the microvasculature in the forearm (using laser speckle contrast analysis)",False,"Heart Failure With Preserved Ejection Fraction, Microvascular Dysfunction",Drug,"Participants receive 10mg Empaglifozin once daily on prescription from their treating physician. This is not an intervention in this trial, but part of their normal HFpEF treatment",Cutaneous vascular conductance (CVC),"baseline bloodflow and area under the curve, Serum ketone levels in mmol/L, EQ5D-5L questionnaire score, EQ5D-5L questionnaire score",Maastricht University Medical Center,,All,18 Years,,216.0,0.0,"Adult, Older Adult",Phase4,48,Other,Interventional,Treatment,20225016824500,,2023-02-13,2024-08-13,2025-02-13,2023-09-21,,2023-09-21,2025-07-22T14:56:11.992789
NCT05985395,HEART Camp Connect: A Feasibility Study,,Terminated,"This study builds on the tested and refined HEART Camp intervention which has been shown to improve long-term adherence to exercise in individuals diagnosed with heart failure. HEART Camp Connect enhances HEART Camp by delivering the coaching via videoconference and providing access to hospital-based exercise facilities and online exercise programming. This prospective study uses a 2-group, randomized repeated measures experimental design with 3 data collection points baseline, Month 3, and Month 6.",True,Heart Failure With Preserved Ejection Fraction,Behavioral,HEART Camp Connect,Exercise Adherence,Kansas City Cardiomyopathy Questionnaire (KCCQ) Overall Summary Score,University of Nebraska,,All,18 Years,,216.0,0.0,"Adult, Older Adult",Na,11,Other,Interventional,Health Services Research,0914-21-FB,,2022-03-28,2023-11-20,2023-11-20,2023-08-14,2025-03-20,2025-03-20,2025-07-22T14:56:11.992789
NCT02435667,Resistance Training in HFpEF,,Completed,"The objective of this proposal is to determine the effect of resistance exercise training on locomotor muscle function, exercise capacity, exertional symptoms, and quality of life in HF patients with preserved ejection fraction (HFpEF).",False,Heart Failure Preserved Ejection Fraction,"Other, Radiation, Other, Other, Other, Other","Resistance Exercise Training, DEXA bone scan, Cardiopulmonary Max Exercise Test, Quality of Life Questionnaire, Submaximal Exercise Test, Blood Draw","Bone density and strength, Cardiopulmonary Function, Quality of Life, Blood Biomarkers",,Mayo Clinic,,All,18 Years,80 Years,216.0,960.0,"Adult, Older Adult",Na,24,Other,Interventional,Supportive Care,15-000320,,2015-06-01,2021-01-01,2021-01-01,2015-05-06,,2021-02-03,2025-07-22T14:56:11.992789
NCT03098901,Radioisotope Scintigraphy to Establish Incidence of Cardiac Amyloidosis Among Patients With Otherwise Unexplained Cardiac Disease,,Unknown,"Cardiac amyloidosis is a multi-organ syndrome, which usually presents as restrictive cardiomyopathy (RCM). Transthyretin (TTR) amyloidosis (or ATTR) is a subtype of amyloidosis which frequently involves heart. Cardiac ATTR, though infrequently diagnosed during lifetime, may represent a prevalent cause of RCM, especially in elderly. Several medications that can limit progression of the disease are currently under investigation. Presently the golden standard for diagnosis of ATTR is endomyocardial biopsy (EMB) which may entail severe adverse complications causing under-diagnosis of ATTR.

Several papers support the evidence that Tc99m-labeled tracers can be used to detect myocardial deposits of TTR amyloid. It was suggested that Tc99m scintigraphy might be a highly sensitive diagnostic tool for cardiac ATTR. In this study the patients with otherwise unexplained cardiomyopathy or heart block will undergo Tc99m scan, which will establish the incidence of this largely underdiagnosed condition in the population.",False,Cardiac TTR Amyloidosis,Diagnostic Test,Tc99m-labeled pyrophosphate scan,diagnosis or exclusion of any type of cardiac amyloidosis;,,Kaplan Medical Center,,All,18 Years,85 Years,216.0,1020.0,"Adult, Older Adult",Na,100,Other,Interventional,Diagnostic,KMC-0018-17,,2017-04-15,2018-04-15,2018-04-15,2017-04-04,,2017-04-05,2025-07-22T14:56:11.992789
NCT03801967,"A Study to Assess the Safety, Tolerability and Pharmacokinetics of AZD9977 in Japanese Healthy Participants With Single and Multiple Ascending Dose Administration",,Completed,"AZD9977 is an oral, selective mineralocorticoid receptor (MR) modulator. AZD9977 is a partial antagonist and partial agonist in reporter gene assays and has a different interaction pattern with the MR compared to eplerenone. This study will assess the safety, tolerability and pharmacokinetics (PK) of AZD9977, following oral administration of single and multiple ascending dose of AZD9977.",False,Heart Failure,"Drug, Drug","AZD9977, Placebo","Number of participants with adverse events (AEs), Number of participants with abnormal blood pressure (BP), Number of participants with abnormal supine pulse, Number of participants with abnormal findings in 12-lead safety Electrocardiogram (ECG), Number of participants with abnormal findings in 12-lead safety Digital Electrocardiogram (dECG), Number of participants with abnormal findings in Real-Time ECG (Cardiac Telemetry), Number of participants with abnormal physical examination findings, Number of participants with abnormal laboratory assessments: Hematology - absolute count of Basophils, Eosinophils, Monocytes, Neutrophils, Lymphocytes and Reticulocytes; Platelets and White blood cell (WBC) count, Number of participants with abnormal laboratory assesments: Hematology - Mean corpuscular volume (MCV), Number of participants with abnormal laboratory assessments: Hematology-Hematocrit (HCT), Number of participants with abnormal laboratory assessments: Hematology - Hemoglobin (Hb), Number of participants with abnormal laboratory assessments: Hematology - Red blood cell (RBC) count, Number of participants with abnormal laboratory assesments: Heamtology - Mean corpuscular hemoglobin (MCH), Number of participants with abnormal laboratory assssments : Hematology - Mean corpuscular hemoglobin concentration (MCHC), Number of participants with abnormal laboratory assessments: Clinical Chemistry - Albumin, Number of participants with abnormal laboratory assessments: Clinical Chemistry - Urea, Number of participants with abnormal laboratory assessments: Clinical Chemistry - C-reactive protein (CRP), Number of participants with abnormal laboratory assessments: Clinical Chemistry - Alkaline phosphatase, Number of participants with abnormal laboratory assessments: Clinical Chemistry - Alanine aminotransferase, Number of participants with abnormal laboratory assessments: Clinical Chemistry - Aspartate aminotransferase, Number of participants with abnormal laboratory assessments: Clinical Chemistry - Creatinine kinase, Number of participants with abnormal laboratory assessments: Clinical Chemistry - Creatinine, Number of participants with abnormal laboratory assessments: Clinical Chemistry - Uric acid, Number of participants with abnormal laboratory assessments: Clinical Chemistry - Glucose (fasting), Number of participants with abnormal laboratory assessments: Clinical Chemistry - Gamma glutamyl transpeptidase, Number of participants with abnormal laboratory assessments: Clinical Chemistry - Phosphate, Number of participants with abnormal laboratory assessments: Clinical Chemistry - Total Bilirubin and Unconjugated bilirubin, Number of participants with abnormal laboratory assessments: Clinical Chemistry - Potassium, Number of participants with abnormal laboratory assessments: Clinical Chemistry - Sodium, Number of participants with abnormal laboratory assessments: Clinical Chemistry - Cholesterol, Number of participants with abnormal laboratory assessments: Clinical Chemistry - Luteinizing hormone, Number of participants with abnormal laboratory assessments: Clinical Chemistry - Triglycerides, Number of participants with abnormal laboratory assessments: Clinical Chemistry - Sex hormone binding globulin, Number of participants with abnormal laboratory assessments: Clinical Chemistry - Follicle-stimulating hormone, Number of participants with abnormal laboratory assessments: Clinical Chemistry - Testosterone, Number of participants with abnormal laboratory assessments: Clinical Chemistry - Aldosterone, Number of participants with abnormal laboratory assessments: Clinical Chemistry - Hemoglobin A1c, Number of participants with abnormal laboratory assessments: Clinical Chemistry - Electrolytes, Number of participants with abnormal laboratory assessments: Clinical Chemistry - High-sensitive-CRP, Number of participants with abnormal laboratory assessments: High-sensitivity Troponin T, Number of participants with abnormal laboratory assessments: N-terminal pro-brain Natriuretic Peptide, Number of participants with abnormal urine volume, Number of participants with abnormal laboratory assessments: Urinalysis - Glucose, Number of participants with abnormal laboratory assessments: Urinalysis - Protein, Number of participants with abnormal laboratory assessments: Urinalysis - Blood, Number of participants with abnorml laboratory assessments: Urinalysis - Urinary Electrolytes","Plasma PK analysis: Area under curve (AUC), Plasma PK analysis: Maximum observed plasma concentration (Cmax), Plasma PK analysis: Time to reach peak or maximum observed concentration following drug administration (tmax), Plasma PK analysis: Observed concentration at the end of the dosing interval following drug administration (Cmin), Plasma PK analysis: Terminal elimination rate constant, estimated by log-linear least squares regression of the terminal part of the concentration-time curve following drug administration (λz), Plasma PK analysis: Terminal half-life, estimated as (ln2)/λz (t1⁄2λz), Plasma PK analysis: Area under the plasma concentration-time curve from time zero to the time of the last measurable concentration (AUClast), Plasma PK analysis: Area under the plasma concentration-time curve in the dosing interval (AUCτ), Plasma PK analysis: Apparent total body clearance of drug from plasma after extravascular administration (CL/F), Plasma PK analysis: Renal clearance, estimated by dividing Amount of analyte excreted into the urine(0-t) [Ae(0-t)] by AUC(0-t) where the time interval for both parameters are the same (CLr), Plasma PK analysis: Mean Residence Time (MRT), Plasma PK analysis: Apparent volume of distribution for parent drug at terminal phase, estimated by dividing the apparent clearance (CL) by λz (Vz/F), Plasma PK analysis: Area under the plasma concentration-time curve from time zero extrapolated to infinity divided by the dose administered (AUC/D), Plasma PK analysis: Area under the plasma concentration-time curve from time zero to the time of the last measurable concentration divided by the dose administered (AUClast/D), Plasma PK analysis: Area under the plasma concentration-time curve in the dosing interval divided by the dose administered (AUCτ/D), Plasma PK analysis: Observed maximum plasma concentration divided by the dose administered (Cmax/D), Plasma PK analysis: Accumulation ratio for AUCτ, estimated by dividing AUCτ from the last dosing day by AUCτ on Day 1 (Rac AUCτ), Plasma PK analysis: Accumulation ratio for Cmax (Rac Cmax), Plasma PK analysis: Temporal change, estimated by dividing AUCτ from the last dosing day by AUC on Day 1 (TCP), Urine PK analysis: Amount of analyte excreted into the urine from time t1 to t2 [Ae(t1-t2)], Urine PK analysis: Percentage Fraction of dose excreted in urine from time t1 to t2, estimated by dividing Ae(t1-t2) by dose * 100 [fe(t1-t2)%]",AstraZeneca,Parexel,Male,18 Years,50 Years,216.0,600.0,Adult,Phase1,28,Industry,Interventional,Treatment,D6401C00005,,2019-01-24,2019-05-02,2019-05-02,2019-01-14,,2019-05-10,2025-07-22T14:56:11.992789
