NCTId,BriefTitle,OverallStatus,StudyType,Phases,Conditions,LeadSponsorName,StartDate,StudyFirstPostDate,LastUpdatePostDate,Timestamp
NCT05412394,Once Weekly Infant Corticosteroid Trial for DMD,RECRUITING,INTERVENTIONAL,PHASE4,Duchenne Muscular Dystrophy,Anne M. Connolly,2021-04-30,2022-06-09,2023-09-18,2024-10-25T17:03:30.194190
NCT03529240,"Kinesiology Taping in Duchenne Muscular Dystrophy: Effects on Performance, Gait Characteristics, and Energy Consumption",COMPLETED,INTERVENTIONAL,NA,"Performance, Energy, Gait, Duchenne Muscular Dystrophy",Hacettepe University,2017-06-10,2018-05-18,2018-05-18,2024-10-25T17:03:30.194190
NCT01761292,"A Study to Assess Safety/Tolerability, pk, Effects on Histology, Clinical Parameters of Givinostat in Children With DMD",COMPLETED,INTERVENTIONAL,"PHASE1, PHASE2",Duchenne Muscular Dystrophy (DMD),Italfarmaco,2013-04,2013-01-04,2023-11-07,2024-10-25T17:03:30.194190
NCT02285673,Efficacy of Umbilical Cord Mesenchymal Stem Cells in Duchenne Muscular Dystrophy,UNKNOWN,INTERVENTIONAL,"PHASE1, PHASE2",Duchenne Muscular Dystrophy,Acibadem University,2013-11,2014-11-07,2014-11-07,2024-10-25T17:03:30.194190
NCT03589573,Effect of Muscle Strength on Hamstring Flexibility in Children With Duchenne Muscular Dystrophy,COMPLETED,OBSERVATIONAL,,"Duchenne Muscular Dystrophy, Muscle Strength, Lower Extremity, Hamstring Contractures",Hacettepe University,2017-03-24,2018-07-18,2018-07-31,2024-10-25T17:03:30.194190
NCT01633866,Pediatric Radio Frequency Coils Generic,ACTIVE_NOT_RECRUITING,OBSERVATIONAL,,"Duchenne Muscular Dystrophy, Musculoskeletal Abnormalities","Children's Hospital Medical Center, Cincinnati",2012-07,2012-07-04,2023-09-28,2024-10-25T17:03:30.194190
NCT06491927,Long Term Follow-up for RGX-202,ENROLLING_BY_INVITATION,OBSERVATIONAL,,Duchenne Muscular Dystrophy,REGENXBIO Inc.,2024-05-08,2024-07-09,2024-07-09,2024-10-25T17:03:30.194190
NCT01931644,"At-Home Research Study for Patients With Autoimmune, Inflammatory, Genetic, Hematological, Infectious, Neurological, CNS, Oncological, Respiratory, Metabolic Conditions",COMPLETED,OBSERVATIONAL,,"All Diagnosed Health Conditions, ADD/ADHD, Alopecia Areata, Ankylosing Spondylitis, Asthma, Atopic Dermatitis Eczema, Beta Thalassemia, Bipolar Disorder, Breast Cancer, Celiac Disease, Cervical Cancer, Chronic Inflammatory Demyelinating Polyneuropathy, Chronic Kidney Diseases, Chronic Obstructive Pulmonary Disease, Colon Cancer, Colorectal Cancer, Crohn's Disease, Cystic Fibrosis, Depression, Diabetes Mellitus, Duchenne Muscular Dystrophy, Endometriosis, Epilepsy, Facioscapulohumeral Muscular Dystrophy, G6PD Deficiency, General Anxiety Disorder, Hepatitis B, Hereditary Hemorrhagic Telangiectasia, HIV/AIDS, Human Papilloma Virus, Huntington's Disease, Idiopathic Thrombocytopenic Purpura, Insomnia, Kidney Cancer, Leukemia, Lung Cancer, Lupus Nephritis, Lymphoma, Melanoma, Multiple Myeloma, Multiple Sclerosis, Myositis, Myotonic Dystrophy, Ovarian Cancer, Pancreatic Cancer, Parkinson's Disease, Polycystic Kidney Diseases, Prostate Cancer, Psoriasis, Psoriatic Arthritis, Rosacea, Scleroderma, Sickle Cell Anemia, Sickle Cell Trait, Sjogren's Syndrome, Skin Cancer, Spinal Muscular Atrophy, Systemic Lupus Erythematosus, Thrombotic Thrombocytopenic Purpura, Trisomy 21, Ulcerative Colitis",Sanguine Biosciences,2013-07,2013-08-29,2024-04-18,2024-10-25T17:03:30.194190
NCT03611244,Prevention of Scoliosis in Patients With Duchenne Muscular Dystrophy Using Portable Seat Device,RECRUITING,INTERVENTIONAL,NA,"Scoliosis Neuromuscular, Duchenne Muscular Dystrophy, Lordosis Lumbar",Seoul National University Hospital,2018-08-07,2018-08-02,2018-09-18,2024-10-25T17:03:30.194190
NCT02780492,Outcome Measures in Duchenne Muscular Dystrophy: A Natural History Study,COMPLETED,OBSERVATIONAL,,Duchenne Muscular Dystrophy,"University College, London",2012-04-11,2016-05-23,2024-01-05,2024-10-25T17:03:30.194190
NCT00873782,Safety Study of Transvenous Limb Perfusion in Human Muscular Dystrophy,COMPLETED,INTERVENTIONAL,PHASE1,"Muscular Dystrophies, Duchenne Muscular Dystrophy, Becker Muscular Dystrophy, Limb-Girdle Muscular Dystrophy","University of North Carolina, Chapel Hill",2009-03,2009-04-02,2015-03-09,2024-10-25T17:03:30.194190
NCT03680365,Your Voice; Impact of Duchenne Muscular Dystrophy (DMD) on the Lives of Families,COMPLETED,OBSERVATIONAL,,"Duchenne Muscular Dystrophy, Burden, Dependency, Disability Physical, Disease Management, Impairment, Rare Diseases","Jett Foundation, Inc.",2018-09-20,2018-09-21,2019-04-01,2024-10-25T17:03:30.194190
NCT02436720,Upper Limb Assessment in Duchenne Muscular Dystrophy,UNKNOWN,OBSERVATIONAL,,Duchenne Muscular Dystrophy,Catholic University of the Sacred Heart,2013-01,2015-05-07,2015-05-07,2024-10-25T17:03:30.194190
NCT06564974,Registry Study to Observe Long-term Safety of Vamorolone (AGAMREE®) in Patients with Duchenne Muscular Dystrophy.,RECRUITING,OBSERVATIONAL,,Duchenne Muscular Dystrophy,"Catalyst Pharmaceuticals, Inc.",2024-07-31,2024-08-21,2024-10-23,2024-10-25T17:03:30.194190
NCT03633565,Comparative Study of Strategies for Management of Duchenne Myopathy (DM),UNKNOWN,INTERVENTIONAL,PHASE4,Myopathy,Assiut University,2018-09,2018-08-16,2018-08-16,2024-10-25T17:03:30.194190
NCT00005574,Gentamicin Treatment of Muscular Dystrophy,COMPLETED,INTERVENTIONAL,PHASE1,"Becker Muscular Dystrophy, Duchenne Muscular Dystrophy",National Institute of Neurological Disorders and Stroke (NINDS),2000-02,2002-12-10,2008-03-04,2024-10-25T17:03:30.194190
